variable_id,domain,concepts,question_text,value_labels,scale_type,scale_points,confidence,needs_reversal,first_na_value,max_substantive_value,validation_phrase,validation_phrase_occurrences,validation_phrase_score
IR2c,Language Use,"language preference, communication",IR2c What kind of language do you normally use at home?,-1=Missing; 0=Not applicable; 97=Not stated / Unknown; 98=Don't know; 99=Refused; 101=Japanese; 501=Mongolia; 601=Bicolano; 602=Cebuano; 603=English; 604=Ilocano; 605=Ilonggo; 606=Tagalog; 607=Others; 701=Only or mostly official language (Mandarin); 702=A mixture of Mandarin and Min-Nan; 703=A mixture of Mandarin and Hakka; 705=Only or mostly Min-nan; 801=Official language; 802=Northern language; 803=Esan language; 804=Souther language; 805=Malayu language; 901=Bahasa; 607=Others; 1101=Vietnamese; 1201=Khmer; 1202=Pounong; 1301=Bahasa malaysia; 1302=Bahasa Mandarin dan bahasa Inggeris; 1303=Bahasa melayu; 1304=Bahasa Melayu dan English; 1305=Bahasa Rasmi dan Tempatan; 1306=Bahasa Rasmi Melayu; 1307=Bahasa Tamil; 1308=Bahasa tempatan; 1309=Campur bahasa melayu dan inggeris; 1310=Chinese; 1311=Malayu sarawak; 1312=Mandarin; 1313=Mandarin dan Bahasa Inggeris; 1314=Melayu dan english; 1315=melayu sarawak; 1501=Not english (others); 603=English; 603=English; 1312=Mandarin; 10003=Malay; 10006=Other Languages or dialects,categorical,23,0.8,False,1101,901,ir2c what kind of language,1,132.0
IR2c_other,Language Use,"language preference, communication","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present?",-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,ir2c_other variable: ir3 question: ir3,7,7.127330062459714
IR3a_1,Interview Environment,"presence of others, social context","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_1 Respondent's spouse",-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,"respondent, were others present? ir3a_1",1,132.0
IR3a_2,Interview Conduct,"children, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_2 Children",-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,"respondent, were others present? ir3a_2",1,132.0
IR3a_3,Interview Conduct,"parents or parents-in-law, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_3 Parents or parents-in-law",-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,"respondent, were others present? ir3a_3",1,132.0
IR3a_4,Interview Conduct,"neighbors or passersby, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_4 Neighbors/passers by",-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,"respondent, were others present? ir3a_4",1,132.0
IR3a_5,Interview Conduct,"party or government official, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_5 Party/government official",-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,"respondent, were others present? ir3a_5",1,132.0
IR3a_6_other,Interview Conduct,"other presence, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_6_other",-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,"respondent, were others present? ir3a_6_other",1,132.0
IR3a_6_other_clarify,Unknown,,"IR3a_other_clarify 

Variable: IR4 
  Question: IR4 Has the respondent ever refused to be interviewed during the whole process?",-1=Missing; 0=Not applicable; 1=Yes. Right at the beginning of the interview.; 2=Yes. In the middle of the interview.; 3=Yes. Towards the end of the interview.; 4=Never,likert_4,4,0.8,True,,4,ir3a_other_clarify variable: ir4 question: ir4,1,132.0
IR5,Interview Conduct,"impatience during interview, interview experience",IR5 Has the respondent ever felt impatient during the interview?,-1=Missing; 0=Not applicable; 1=Never; 2=Occasionally; 3=Sometimes; 4=Always,likert_4,4,0.8,False,,4,ir5 has the respondent ever,1,132.0
IR6,Interview Conduct,"cooperation level, interview experience",IR6 How cooperative was the respondent during the interview?,-1=Missing; 0=Not applicable; 1=Highly cooperative; 2=Fairly cooperative; 3=Not very cooperative,likert_3,3,0.8,False,,3,how cooperative was the respondent,1,132.0
IR7,Interview Conduct,"sincerity when answering sensitive questions, interview experience",IR7 How sincere was the respondent when answering sensitive questions?,-1=Missing; 0=Not applicable; 1=Highly sincerely; 2=Fairly sincere; 3=Not very sincere; 4=Not sincere at all,likert_4,4,0.8,False,,4,how sincere was the respondent,1,132.0
IR8,Interview Conduct,"difficulty in answering questions, interview experience",IR8 What proportion of the questions do you feel the respondent had difficulty answering?,-1=Missing; 0=Not applicable; 1=All; 2=Most; 3=Some; 4=Few; 5=None,likert_5,5,0.8,False,,5,what proportion of the questions,1,132.0
LEVEL,Unknown,,Rural or urban,1=Rural; 2=Urban,binary,2,0.8,False,,2,rural or urban,1,132.0
SE10_1,Economic Perception,"employment status, economic condition",SE10_1 Is the main earner in your household currently employed?,-1=Missing; 0=Not applicable; 1=Employed; 2=Not employed; 9=Decline to answer,binary,2,0.8,False,9,2,se10_1 is the main earner,1,132.0
SE10a,Economic Perception,"employment type, economic condition","SE10a Is he or she currently self-employed, working in a family business, or working for an outside employer?",-1=Missing; 0=Not applicable; 1=Self-employed or business owner; 2=Working in family business; 3=Working for an outside employer; 4=Working in the public sector; 97=Don't know; 98=Can't choose; 99=Decline to answer,likert_4,4,0.8,False,97,4,se10a is he or she,1,132.0
SE10b,Economic Perception,"business size, economic condition",SE10b How many people do his or her business employ?,-1=Missing; 0=Not applicable; 1=No employees; 2=1-9 employees; 3=10+ employees; 10=In civil service; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,ordinal,4,0.5,False,97,10,se10b how many people do,1,132.0
SE10c,Economic Perception,"job type, economic condition",SE10c Here is a list of different types of jobs. Which type of job does he/she have now?,-1=Missing; 0=Not applicable; 1=Professional and technical; 2=Higher administrative; 3=Clerical; 4=Sales; 5=Servce; 6=Skilled worker; 7=Semi-skilled worker; 8=Unskilled worker; 9=Farm worker; 10=Farm proprietor/manager; 97=Don't know; 98=Can't choose; 99=Decline to answer,scale_10,10,0.8,False,97,10,se10c here is a list,1,132.0
SE10d,Economic Perception,"employment status, economic condition",SE10d Is he or she currently seeking employment?,-1=Missing; 0=Not applicable; 1=Yes (Currently unemployed but seeking work); 2=No (Not currently employed and not seeking work); 3=Never employed; 98=Can't choose; 99=Decline to answer,likert_3,3,0.8,True,98,3,se10d is he or she,1,132.0
SE10e,Economic Perception,"employment status, economic condition",SE10e What is his or her current status?,-1=Missing; 0=Not applicable; 1=Homemaker; 2=Student; 3=Retired; 4=Person with disabilities; 5=Unemployed; 6=other; 9=Decline to answer; 98=Not sure / can't say,likert_6,6,0.8,False,98,6,se10e what is his or,1,132.0
SE10eother,Economic Perception,"employment status, economic condition","SE10eother 

Variable: SE11 
  Question: SE11 What language do you speak the most in the home?",-1=Missing; 0=Not applicable; 1=Only local language; 2=Mostly local language; 3=A mixture of local and official language; 4=Mostly official language; 5=Only official language; 9=decline to answer; 1501=Only English; 1502=Mostly English; 1503=A mixture of English and another language; 1504=Mostly another language; 1505=Only another language,likert_5,5,0.8,False,1501,5,se10eother variable: se11 question: se11,1,132.0
SE11a,Demographic Characteristics,"racial or ethnic background, identity",SE11a What is your racial or ethnic background?,"-1=Missing; 0=Not applicable; 97=Don't know; 98=Can't choose; 99=Decline to answer; 101=Japanese; 301=Korean; 302=Ethnic Korean in China; 305=Vietnamese; 301=Korean; 302=Ethnic Korean in China; 305=Vietnamese; 601=Bicol; 602=Ifugao; 603=Igorot; 604=Ilocano; 605=Ilonggo; 606=Cebuano; 607=Chinese; 101=Japanese; 609=Maguindanao; 610=Maranao; 611=Spanish; 612=Tagalog; 613=Tausug; 614=Yakan; 616=Aklanon; 619=Bisaya; 621=Hiligaynon; 624=Iranon; 625=Kapampangan; 626=Kinaray-a; 628=Masbateno; 629=Pangasinense; 632=Surigaonon; 633=Waray; 634=Zamboangeno; 635=Davaoeno; 636=Samarnon; 637=Boholano; 638=Bolinao; 639=Dapitanon; 640=Batangueno; 641=Bukidnon; 642=Chavacano; 643=Sama Laminosa; 644=Sama Bangingi; 645=Manobo; 646=Siquijornon; 647=Kalagan; 648=Mandaya; 649=Leyteno; 701=Native Hakka; 702=Native Hoklo (Min Nan); 703=Mainland Chinese from various provinces and cities; 704=Indigenous people; 705=Mainland Chinese new residents; 706=Foreign new residents; 707=Foreigners with residency permit; 801=Thai; 803=Malayu; 806=Lao; 901=Aceh; 902=Alif’uru; 903=Arab; 904=Atoni; 905=Bali; 906=Banjar; 907=Banten; 908=Batak; 909=Betawi; 910=Bima; 911=Bugis; 912=Buton; 913=Cina/Tionghoa; 914=Cirebon; 915=Dayak; 916=Eropa; 917=Galela; 918=Gorontalo; 919=India; 920=Jawa; 921=Kaili; 922=Kutai; 923=Lampung; 924=Madura; 925=Makassar; 926=Mandar; 927=Manggarai; 928=Melayu; 929=Minahasa; 930=Minangkabau; 931=Papua; 932=Rejang; 933=Sasak; 934=Sunda; 935=Ternate; 936=Tobelo; 937=Toraja; 938=Others; 607=Chinese; 1002=Malay; 1003=Indian; 938=Others; 1101=Kinh; 1102=Tay; 801=Thai; 1104=Muong; 1105=Raglai; 1201=Khmer; 1202=Khmer-Chinese/Chinese-Khmer; 607=Chinese; 305=Vietnamese; 1205=Khmer of Vietnamese descent/Vietnamese-Khmer; 1206=Laotian; 1207=Khmer of Laotian descent/Laotian-Khmer; 1208=Minority nationality; 1209=Other nationality; 1002=Malay; 607=Chinese; 1003=Indian; 1304=Melanau; 1305=Iban; 1306=Bidayuh; 1307=Kadazandusun; 1308=Murut; 1309=Bajau; 1310=Sungai; 1311=Orang Asli; 1312=Other; 1501=Aboriginal and / or Torres Strait Islander; 1502=Anglo-Celtic (e.g. British, Scottish, English, Irish); 1503=European - Southern (e.g. Greek, Italian); 1504=European ??? Northern / Western / Eastern (e.g. French, Polish, Swedish); 1505=East Asian (e.g. Chinese, Korean, Japanese); 1506=Southeast Asian (e.g. Vietnamese, Thai, Filipino); 1507=South Asian (e.g. Indian, Pakistani, Nepali); 1508=Middle Eastern (e.g. Lebanese, Iraqi, Turkish); 1509=Pacific Islander (e.g. Fijian, Samoan); 1510=Northern African (e.g. Egyptian, Sudanese, Moroccan); 1511=Southern African (e.g. Zimbabwean, South African); 1512=Australian (NFI); 1513=New Zealander; 1514=South American; 1596=Other (please specify)",categorical,101,0.8,False,1002,938,se11a what is your racial,1,132.0
SE11aother,Demographic Characteristics,"racial or ethnic background, identity","SE11aother 

Variable: SE12 
  Question: SE12 SUBJECTIVE SOCIAL STATUS",-1=Missing; 0=Not applicable; 1=Lowest status; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Highest status; 97=Don't understand the question; 98=Can't choose; 99=Decline to answer,scale_10,10,0.8,False,97,10,se11aother variable: se12 question: se12,1,132.0
SE13a,Unknown,,SE13a Where would you put yourself on the staircase?,-1=Missing; 0=Not applicable; 1=Poorest; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Richest; 97=DU; 98=Can't choose; 99=Decline to answer,scale_10,10,0.8,False,97,10,se13a where would you put,2,46.66904755831214
SE13b,Unknown,,SE13a Where would you put yourself on the staircase? SE13b Where would you put your parents on the staircase?,-1=Missing; 0=Not applicable; 1=Poorest; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Richest; 97=DU; 98=Can't choose; 99=Decline to answer,scale_10,10,0.8,False,97,10,yourself on the staircase? se13b,1,132.0
SE13c,Unknown,,SE13c Where do you think your children will be?,-1=Missing; 0=Not applicable; 1=Poorest; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Richest; 97=Don't understand the question; 98=Can't choose; 99=Decline to answer,scale_10,10,0.8,False,97,10,think your children will be?,1,132.0
SE14,Unknown,,SE14 Monthly household income,"-1=Missing; 0=Not applicable; 1=Lowest quintile; 2=2nd; 3=3rd; 4=4th; 5=Highest quintile; 7=Don't know; 8=Can't choose; 9=Decline to answer; 1501=Less than $40,000 per year; 1502=$40,000 but less than $75,000 per year; 1503=$75,000 but less than $115,000 per year; 1504=$115,000 but less than $175,000 per year; 1505=$175,000 or more per year",likert_5,5,0.8,False,1501,5,se14 monthly household income,1,132.0
SE14a,Unknown,,SE14a Does the total income of your household allow you to satisfactorily cover your needs?,"-1=Missing; 0=Not applicable; 1=Our income covers the needs well, we can save a lot; 2=Our income covers the needs well, we can save; 3=Our income covers the needs all right, without much difficulty; 4=Our income does not cover the needs, there are difficulties; 5=Our income does not cover the needs, there are great difficulties; 7=Don't understand the question; 8=Can't choose; 9=Deline to answer; 99=Decline to answer",ordinal,6,0.5,False,99,9,se14a does the total income,1,132.0
SE15a,Unknown,,SE15a Do you or your family own the following: Car/Jeep/Van?<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,you or your family own,1,132.0
SE15a_1,Unknown,,SE15a_1 How many?<optional>,-1=Missing; 0=Not applicable; 99=Decline to answer,unknown,0,0.0,False,99,0,se15a_1 how many?<optional>,1,132.0
SE15b,Unknown,,SE15b Tractor<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15b tractor<optional>,1,92.4
SE15c,Unknown,,SE15c Color or B/W Television (Non-Cable)<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15c color or b/w television,1,132.0
SE15d,Unknown,,SE15d Cable Television<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15d cable television<optional>,1,132.0
SE15e,Unknown,,SE15e Scooter/Motorcycle/Moped<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15e scooter/motorcycle/moped<optional>,1,92.4
SE15f,Unknown,,SE15f Telephone (Landline)<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15f telephone (landline)<optional>,1,132.0
SE15g,Unknown,,SE15g Mobile Telephone<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15g mobile telephone<optional>,1,132.0
SE15h,Unknown,,SE15h Electric Fan/Cooler<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15h electric fan/cooler<optional>,1,132.0
SE15i,Unknown,,SE15i Bicycle<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15i bicycle<optional>,1,92.4
SE15j,Unknown,,SE15j Radio/Transistor<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15j radio/transistor<optional>,1,92.4
SE15k,Unknown,,SE15k Pumping Set<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15k pumping set<optional>,1,132.0
SE15l,Unknown,,SE15l Fridge<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15l fridge<optional>,1,92.4
SE15m,Unknown,,SE15m Camera<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15m camera<optional>,1,92.4
SE15n,Unknown,,SE15n Goats/Sheep<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15n goats/sheep<optional>,1,92.4
SE15n_1,Service Accessibility,"service availability, cattle, count",SE15n_1 How many?<optional>,-1=Missing; 0=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,unknown,0,0.0,False,97,0,se15n_1 how many?<optional>,1,132.0
SE15o,Service Accessibility,"service availability, cattle, type",SE15o Cows/Buffalo<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15o cows/buffalo<optional>,1,92.4
SE15o_1,Service Accessibility,"service availability, cattle, count",SE15o_1 How many?<optional>,-1=Missing; 0=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,unknown,0,0.0,False,97,0,se15o_1 how many?<optional>,1,132.0
SE15p,Service Accessibility,"service availability, internet connection, availability",SE15p Internet Connection at home<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15p internet connection at home<optional>,1,132.0
SE15q,Service Accessibility,"service availability, boat, type",SE15q Boat<optional>,-1=Missing; 0=Not applicable; 1=Yes; 2=No,binary,2,0.8,True,,2,se15q boat<optional>,1,92.4
SE15q_1,Service Accessibility,"service availability, boat, count",SE15q_1 How many?<optional>,-1=Missing; 0=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,unknown,0,0.0,False,97,0,se15q_1 how many?<optional>,1,132.0
SE2,Demographics,"social characteristic, gender",SE2 Gender,0=Not applicable; 1=Male; 2=Female; 99=Decline to answer,binary,2,0.8,False,99,2,se2 gender,1,92.4
SE3,Demographics,"social characteristic, birth year",SE3 Birth year,-1=Missing,unknown,0,0.0,False,,0,se3 birth year,1,132.0
SE3_1,Demographics,"social characteristic, age",SE3_1 Actual age,-1=Missing; 0=Not applicable,unknown,0,0.0,False,,0,se3_1 actual age,1,132.0
SE4,Demographics,"social characteristic, marital status",SE4 MARITAL STATUS,-1=Missing; 0=Not applicable; 1=Single/Never married; 2=Married; 3=Living-in as married; 4=Widowed; 5=Separated/Married but separated/not living with legal spouse; 6=Divorced; 9=Decline to answer,likert_6,6,0.8,False,9,6,se4 marital status,1,132.0
SE5,Education,"education level, formal education",SE5 EDUCATION,-1=Missing; 0=Not applicable; 1=No formal education; 2=Incomplete primary/elementary; 3=Elementary; 4=Incomplete secondary/high school: technical/vocational type; 5=Complete secondary/high school: technical/vocational type; 6=Incomplete secondary/high school; 7=Complete secondary/high school; 8=Some university education; 9=University education completed; 10=Post-graduate degree; 99=Decline to answer,scale_10,10,0.8,False,99,10,se5 education,1,92.4
SE5a,Education,"education level, years of education",SE5a How many years of formal education you have received?,-1=Missing; 98=Can't choose; 99=Decline to answer,unknown,0,0.0,False,98,0,how many years of formal,1,132.0
SE6,Religion,"religion, affiliation",SE6 Religion,-1=Missing; 0=Not applicable; 1=Traditional folk religion(shenism); 10=Roman Catholic; 20=Protestant; 30=Jews; 40=Islam; 41=Shia; 42=Sunni; 50=Hindu; 60=Buddhist; 70=Other Asian religions; 72=Iglesia Ni Cristo; 73=Aglipayan; 74=Born Again; 76=Taoism; 77=I-Kuan Tao; 80=Others; 99=None; 997=Don't know; 998=Can't choose; 999=Decline to answer,categorical,17,0.8,False,997,99,se6 religion,1,92.4
SE6other,Religion,"religion, affiliation, other","SE6. Other specify responses 

Variable: SE7 
  Question: SE7 RELIGIOSITY: About how often do you practice religious services or rituals these days?",-1=Missing; 0=Not applicable; 1=Several times a day; 2=Once a day; 3=Several times a week; 4=Once a week; 5=Once a month; 6=Only during festivals (or several times a year); 7=Less often; 8=Practically never; 10=Several times a month; 11=Once a year; 97=Don't know; 99=Decline to answer,scale_10,10,0.8,False,97,11,se6. other specify responses variable:,1,132.0
SE7a,Religion,"self-description, religiosity",SE7a How would you describe yourself?,-1=Missing; 0=Not applicable; 1=Very religious; 2=Moderately religious; 3=Lightly religious; 4=Not religious at all; 8=Don't know; 9=Decline to answer,likert_4,4,0.8,False,8,4,se7a how would you describe,1,132.0
SE8a,Household Size,"household size, number of people",SE8a How many people live in this household?,-1=Missing; 0=Not applicable; 99=Decline to answer,unknown,0,0.0,False,99,0,se8a how many people live,1,132.0
